id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2017-392901,2017-07-03,000001,Vente,68000,,,AUBREVILLE,B015,55120,55014,Aubréville,55,,,550140000J0594,,,,,,,,,,,,,0,,,,,J,jardins,POTAG,Jardin potager,560,5.083285,49.144074
2017-392901,2017-07-03,000001,Vente,68000,3,,RUE SAINT MARTIN,0110,55120,55014,Aubréville,55,,,550140000J0660,,,,,,,,,,,,,0,1,Maison,108,4,S,sols,,,387,5.083056,49.144121
2017-392901,2017-07-03,000001,Vente,68000,,,AUBREVILLE,B015,55120,55014,Aubréville,55,,,550140000J0661,,,,,,,,,,,,,0,,,,,S,sols,,,443,5.083297,49.14425
2017-392902,2017-07-04,000001,Vente,5200,,,L ENCLOS,B012,55700,55310,Luzy-Saint-Martin,55,,,55310000ZD0071,,,,,,,,,,,,,0,,,,,T,terres,,,2660,5.150519,49.523427
2017-392902,2017-07-04,000001,Vente,5200,,,L ENCLOS,B012,55700,55310,Luzy-Saint-Martin,55,,,55310000ZD0072,,,,,,,,,,,,,0,,,,,T,terres,,,7980,5.149493,49.523238
2017-392903,2017-07-03,000001,Vente,156000,10,,CHE DERRIERE LES JARDINS,0010,55220,55498,Souilly,55,,,55498000ZH0073,,,7,21.05,,,,,,,,,1,4,Local industriel. commercial ou assimilé,33,0,,,,,,5.289471,49.030213
2017-392904,2017-07-04,000001,Vente,57500,21,,RTE NATIONALE,0045,55110,55490,Sivry-sur-Meuse,55,,,55490000AC0127,,,,,,,,,,,,,0,1,Maison,80,4,S,sols,,,770,5.268371,49.324616
2017-392905,2017-07-04,000001,Vente,20500,,,LE POLYGONE,B124,55840,55505,Thierville-sur-Meuse,55,,,55505000AV0460,,,,,,,,,,,,,0,,,,,J,jardins,POTAG,Jardin potager,649,5.366364,49.165566
2017-392906,2017-07-03,000001,Vente,108570,50,,AV DU MARECHAL JOFFRE,0837,55100,55545,Verdun,55,,,55545000BY0292,,,,,,,,,,,,,0,1,Maison,60,3,S,sols,,,265,5.398712,49.163728
2017-392907,2017-07-03,000001,Vente,165000,,,LE VILLAGE,B112,55220,55525,Vadelaincourt,55,,,55525000ZC0030,,,,,,,,,,,,,0,,,,,S,sols,,,34,5.264631,49.071115
2017-392907,2017-07-03,000001,Vente,165000,5,,RTE DE LEMMES,0020,55220,55525,Vadelaincourt,55,,,55525000ZC0070,,,,,,,,,,,,,0,1,Maison,86,4,P,prés,,,911,5.264973,49.071321
